zi	pinyin
伟	wěi
伪	wěi
伍	wǔ
仵	wǔ
伈	xǐn
休	xiū
伢	yá
伊	yī
优	yōu
伃	yú
伛	yǔ
仲	zhòng
伫	zhù
伌	ài
仯	chào
伜	cuì
伔	dǎn
仾	dī
伄	diào
伅	dùn
仮	fǎn
仹	fēng
仸	yǎo
伒	jìn
仱	qián
伖	tǎng
伂	pèi
伓	pī
伣	qiàn
仼	wáng
仴	wò
伆	wěn
伩	xìn
伨	xùn
伇	yì
伝	yún
伬	chǐ
伀	zhōng
佁	ǎi,yǐ
伯	bà,bǎi,bó
伴	bàn,pàn
伻	bēng
佊	bǐ
伺	cì,sì
但	dàn
低	dī
佃	diàn,tián
佛	fó,fú
伽	gā,jiā,qié
佝	gōu
估	gù,gū
何	hé,hè
佧	kǎ
伶	líng
你	nǐ
伲	nì,nǐ
佞	nìng
伾	pī
佉	qū
伸	shēn
体	tǐ,tī
佟	tóng
佗	tuó,tuō
位	wèi
佚	yì
佣	yòng,yōng
佑	yòu
住	zhù
作	zuò,zuō
佐	zuǒ
佈	bù
佔	zhàn
佀	sì
佨	bɑo
佖	bì
佄	hān
佅	mài
伱	nǐ
伮	nú
伹	qū
佋	zhāo
佦	shi
伭	xián
佡	xiān
伳	xiè
伵	xù
佒	yǎng
伿	zhì
佂	zhēng
伷	zhòu
佇	zhù
佰	bǎi
侧	cè,zè,zhāi
侘	chà
侪	chái
侈	chǐ
佌	cǐ
佽	cì
侗	dòng,tóng,tǒng
佴	èr,nài
供	gòng,gōng
佹	guǐ
佫	hè
佷	hěn
佪	huí
佶	jí
佳	jiā
侥	jiǎo,yáo
佼	jiǎo
侃	kǎn
侉	kuǎ
侩	kuài
佬	lǎo
例	lì
侣	lǚ
侔	móu
侬	nóng
佩	pèi
侨	qiáo
佺	quán
侁	shēn
使	shǐ
侍	shì
佻	tiāo
侹	tǐng
侂	tuō
侠	xiá
佯	yáng
依	yǐ,yī
佾	yì
侑	yòu
侦	zhēn
侄	zhí
侜	zhōu
侏	zhū
來	lái
侚	xùn
併	bìng
侒	ān
侙	chì
侟	cún
侢	dài
佮	gé
侕	ér
佱	fǎ
侅	gāi
侊	gōng
佸	huó
侭	jǐn
侓	lù
侎	mǐ
佲	mǐng
侫	nìng
侞	rú
価	sì
侤	tɑ
佭	xiáng
侀	xíng
俢	xiū
侐	xù
侇	yí
保	bǎo
便	biàn,pián
俦	chóu
促	cù
俤	dì
俄	é
俘	fú
俛	fǔ,miǎn
侯	hóu,hòu
俒	hǔn
俭	jiǎn
侷	jú
俊	jùn
俫	lāi
俚	lǐ
俪	lì
俐	lì
俩	liǎ,liǎng
俍	liáng
俜	pīng
俟	qí,sì
俏	qiào
侵	qīn
俅	qiú
俗	sú
侻	tuì,tuō
侮	wǔ
信	xìn
修	xiū
俨	yǎn
俑	yǒng
俣	yǔ
俥	chē
俠	xiá
俓	jìng
係	xì
侼	bó
侲	zhèn
侱	chěng
侸	shù
俌	fǔ
俇	guàng
侰	jiǒng
俈	kù
侶	lǚ
侽	nán
俖	pěi
俔	qiàn
俕	sàn
侺	shèn
俆	xú
俬	sī
俀	tuǐ
俉	wù
俙	xī
侾	xiāo
俋	yì
俁	yǔ
俧	zhi
侳	zuò
俺	ǎn
倍	bèi
倴	bèn
俾	bǐ
俵	biào
倡	chàng,chāng
倘	cháng,tǎng
俶	chù,tì
倅	cuì
倒	dào,dǎo
俸	fèng
俯	fǔ
倌	guān
候	hòu
健	jiàn
倢	jié
借	jiè
倞	jìng,liàng
俱	jù
倨	jù
倦	juàn
倔	jué,juè
倥	kōng
倮	luǒ
倷	nǎi
倪	ní
俳	pái
倩	qiàn,qìng
倾	qīng
偌	ruò
倏	shū
倜	tì
倭	wō
倖	xìng
倻	yē
倚	yǐ
债	zhài
值	zhí
倬	zhuō
倳	zì
倀	chāng
倆	liǎng
倈	lái
個	gè
俽	xīn
倫	lún
倸	cǎi
俻	bèi
俲	xiào
倣	fǎng
們	mén
倂	bìng
偖	chě
俿	hǔ
倕	chuí
倓	tán
倲	dōng
俷	fèi
倱	hùn
俰	huò
俴	jiàn
倹	jiǎn
倃	jiù
倶	jù
倰	lèng
倗	péng
倛	qī
倿	nìng
倽	shà
倐	shū
倯	sōng
倠	suī
倎	tiǎn
倇	wǎn
倵	wǔ
俹	yà
倄	yáo
偀	yīng
俼	yù
倁	zhī
値	zhí
倊	zǒng
倧	zōng
偝	bèi
偲	cāi,sī
偿	cháng
偁	chēng
偢	chǒu
偟	huáng
偈	jì,jié
假	jià,jiǎ,xiá
傀	kuǐ
偻	lóu,lǚ
偭	miǎn
偶	ǒu
偏	piān
停	tíng
偷	tōu
偎	wēi
偓	wò
偕	xié
偃	yǎn
偊	yǔ
偫	zhì
偬	zǒng
偰	xiè
偹	bèi
做	zuò
偪	bī
偵	zhēn
偘	kǎn
側	cè
偺	zán
偽	wěi
偉	wěi
偋	bǐng
偛	chā
偅	zhòng
偆	chǔn
偒	tǎng
偙	dì
偳	duān
偔	è
偑	fēng
偩	fù
傦	gu
偮	jí
偂	qián
偼	jié
傇	rǒng
偄	ruǎn
偗	shěng
傁	sǒu
傞	suō
偍	tí
偸	tōu
偞	xiè
偦	xū
偱	xún
偐	yàn
偣	ān
偠	yǎo
偯	yǐ
偤	yóu
偧	zhā
偡	zhàn
傲	ào
傍	bàng
傧	bīn
储	chǔ
傣	dǎi
傎	diān
傅	fù
傢	jiā
傕	jué
傈	lì
傉	nù
傩	nuó
傥	tǎng
傒	xī
備	bèi
傖	cāng
傑	jié
傜	yáo
傓	shān
傌	mà
僃	bèi
傡	bìng
傗	chù
偨	cī
傠	fá
傋	jiǎng
傐	hào
傔	qiàn
僆	liàn
傛	róng
傂	zhì
傃	sù
傝	tà
傏	táng
傄	xiā
傚	xiào
傟	yǎng
傆	yuàn
傊	yùn
傤	zài
傺	chì
催	cuī
傫	léi
僇	lù
僄	piào
傻	shǎ
像	xiàng
債	zhài
僅	jǐn
傾	qīng
傴	yǔ
傳	chuán
僂	lǚ
傷	shāng
傯	zǒng
傭	yōng
傰	péng
傪	cān
傮	zāo
傸	chuǎng
僀	dì
働	dòng
僙	guāng
傼	hàn
傹	jìng
僋	tǎn
僈	màn
傶	qī
傱	sǒng
僁	xiè
傿	yān
僌	yíng
傽	zhāng
僝	chán
僢	chuǎn
僜	dēng
僭	jiàn
僬	jiāo
儆	jǐng
僦	jiù
僚	liáo
僶	mǐn
僧	sēng
僳	sù
僮	tóng,zhuàng
僖	xī
僔	zǔn
僊	xiān
僥	jiǎo
僡	huì
僕	pú
僑	qiáo
儁	jùn
僱	gù
僠	bō
僤	dàn
僘	chǎng
僞	wěi
僫	è
僟	jī
僣	tiě
僒	jiǒng
僪	yù
僗	láo
僯	lǐn
僛	qī
僐	shàn
僓	tuǐ
僩	xiàn
僲	xiān
僴	xiàn
僷	yè
僎	zhuàn
僾	ài
儋	dàn,dān
僵	jiāng
儌	jiǎo
僻	pì
僿	sài
儇	xuān
僽	zhòu
價	jià
儂	nóng
儍	shǎ
儉	jiǎn
儈	kuài
億	yì
儀	yí
儏	cɑn
儃	chán
儊	chù
儅	dāng
僼	fēng
僸	jìn
儚	méng
儙	qiàn
僺	qiào
儎	zài
儜	níng
儒	rú
儓	tái
儛	wǔ
儔	chóu
儕	chái
儐	bīn
儗	nǐ
儘	jǐn
儑	án
儫	háo
儣	kuǎng
儖	lán
儞	nǐ
儝	qióng
儡	léi,lěi
