zi	pinyin
翁	wēng
翄	chì
翆	cuì
翎	líng
翈	xiá
翊	yì
翌	yì
習	xí
翉	běn
翍	pī
翇	fú
翋	là
翏	liù
翑	qú
翐	zhì
翚	huī
翙	huì
翘	qiáo,qiào
翕	xī
翔	xiáng
翛	xiāo
翗	ké
翖	xī
翓	xié
翝	hóng
翜	shà
翠	cuì
翟	dí,zhái
翡	fěi
翣	shà
翥	zhù
翤	chì
翢	dào
翞	jiāng
翦	jiǎn
翩	piān
翪	zōng
翫	wán
翬	huī
翨	chì
翭	hóu
翧	xuān
翱	áo
翰	hàn
翮	hé
翯	hè
翴	lián
翳	yì
翼	yì
翶	áo
翵	hóu
翲	piāo
翻	fān
翹	qiáo
翺	áo
翷	lín
翸	pěn
翾	xuān
翽	huì
耀	yào
翿	dào
聿	yù
肃	sù
肂	sì
肁	zhào
肆	sì
肄	yì
肅	sù
肇	zhào
肈	zhào
至	zhì
致	zhì
臷	dié
臵	gé
臶	jiàn
臸	zhī
臹	xiū
臺	tái
臻	zhēn
舟	zhōu
舠	dāo
舡	chuán
舢	shān
舣	yǐ
舤	fán
般	bān,bō,pán
舨	bǎn
舭	bǐ
舱	cāng
舫	fǎng
航	háng
舰	jiàn
舯	zhōng
舩	chuán
舧	fán
舮	lú
舥	pā
舦	tài
舶	bó
船	chuán
舵	duǒ
舸	gě
舲	líng
舻	lú
舷	xián
舴	zé
舳	zhòu,zhu
舺	xiá
艇	tǐng
舾	xī
舽	páng
舼	qióng
舿	kuɑ
艀	fú
艄	shāo
艉	wěi
艅	yú
艂	féng
艆	láng
艃	lí
艁	zào
艋	měng
艊	bó
艍	jū
艌	niàn
艑	biàn
艖	chā
艓	dié
艎	huáng
艏	shǒu
艘	sōu
艔	dào
艐	kè
艒	mù
艗	yì
艙	cāng
艕	bàng
艚	cáo
艜	dài
艛	lóu
艝	sō rī
艟	chōng
艠	deng
艥	jí
艞	yào
艨	méng
艢	qiáng
艣	lǔ
艤	yǐ
艡	dāng
艧	huò
艦	jiàn
艩	qí
艪	lǔ
艫	lú
艬	chán
艭	shuāng
竹	zhú
竻	lè
竺	zhú
笃	dǔ
竿	gān
笈	jí
竽	yú
竾	chí
笁	zhú
笀	máng
竼	péng
笂	wɑn
笆	bā
笓	bì
笏	hù
笄	jī
笅	jiǎo
笋	sǔn
笑	xiào
笊	zhào
笫	zǐ
笒	cén
笐	háng
笉	qǐn
笍	zhuì
笇	suàn
笌	yá
笖	yǐ
笎	yuán
笨	bèn
笾	biān
笞	chī
笪	dá
笛	dí
第	dì
符	fú
笰	fú
笴	gǎn
笱	gǒu
笳	jiā
笺	jiān
笠	lì
笭	líng
笢	mǐn
笯	nú
笸	pǒ
筇	qióng
笙	shēng
笥	sì
笤	tiáo
笮	zé,zuó
笩	fá
笣	bāo
笧	cè
笚	dā
笗	dōng
笲	fán
笵	fàn
笟	gū
笷	mǎo
笽	min
笝	nà
笡	qiè
笻	qióng
笘	shān
笶	shǐ
笹	tì
笜	zhú
筆	bǐ
筚	bì
策	cè
答	dá,dā
筜	dāng
等	děng
筏	fá
筀	guì
筋	jīn
筥	jǔ
筐	kuāng
筈	kuò
笿	luò
筌	quán
筛	shāi
筳	tíng
筒	tǒng
筅	xiǎn
筵	yán
筝	zhēng
筑	zhù
筘	kòu
筍	sǔn
筊	jiǎo
筬	chéng
筂	chí
筕	háng
筓	jī
筙	lái
筁	qū
筎	rú
筄	yào
筃	yīn
筗	zhòng
筧	jiǎn
筴	cè,jiā
筹	chóu
筻	gàng
筦	guǎn
简	jiǎn
筠	jūn,yún
筷	kuài
筢	pá
签	qiān
筲	shāo
筮	shì
筭	suàn
筱	xiǎo
筼	yún
筯	zhù
筰	zuó
筞	cè
筩	tǒng
節	jié
筟	fū
筸	gān
筶	gào
筨	hán
筺	kuāng
筤	láng
筣	lí
筽	o
筡	tú
筪	xiá
筿	xiǎo
箄	bǐ,pái
箅	bì
箔	bó
箣	cè
箪	dān
箙	fú
箍	gū
管	guǎn
箕	ji,jī
箘	jùn
箜	kōng
箩	luó
箧	qiè
箐	qìng
箬	ruò
箑	shà
算	suàn
箨	tuò
箢	yuān
箸	zhù
箝	qián
箋	jiān
箎	chí
箇	gè
箠	chuí
箓	lù
箃	zōu
箆	bì
箥	pǒ
箁	póu
箈	tái
箉	guǎi
箌	zhào
箛	gū
箟	jùn
箂	lái
箖	lín
箞	quān
箊	yū
箚	zhá
箏	zhēng
箤	zú
箯	biān
篅	chuán
篌	hóu
篁	huáng
箭	jiàn
篑	kuì
篓	lǒu
篇	piān
箱	xiāng
篂	xīng
箴	zhēn
篆	zhuàn
篋	qiè
範	fàn
箲	xiǎn
箷	shī
篨	chú
箺	chūn
箹	yuē
箽	dǒng
篈	fēng
篐	gū
篊	hóng
箶	hú
箿	jí
箻	lǜ
篃	mèi
篎	miǎo
箳	píng
篏	qiàn
箾	shuò
篍	qiū
箵	xīng
篒	yì
箰	sǔn
箼	wū
箮	xuān
篦	bì
篰	bù
篪	chí
篘	chōu
篡	cuàn
篚	fěi
篙	gāo
篝	gōu
篮	lán
篱	lí
篥	lì
篢	lǒng
篷	péng
篠	xiǎo
簉	zào
篹	zuǎn,zhuàn
篤	dǔ
築	zhù
篳	bì
篩	shāi
簑	suō
篛	ruò
篬	qiāng
篴	zhú
篕	hé
篧	zhuó
篯	jiǎn
篭	lóng
篞	niè
篣	péng
篟	qiàn
篖	táng
篔	yún
篗	yuè
篜	zhēng
篫	zhù
簇	cù
篼	dōu
簖	duàn
簧	huáng
簕	lè
簏	lù
篾	miè
簌	sù
篿	tuán
簻	zhuā
篲	huì
簒	cuàn
簍	lǒu
簃	yí
簆	kòu
篻	piǎo
簎	cè
簅	chǎn
篵	cōng
簓	sā sā lā
簂	guó
簄	hù
簊	jī
簗	zhù
簐	niǎn
篺	pí
簈	píng
簁	shāi
簔	suō
簘	xiāo
篶	yān
簦	dēng
簟	diàn
簡	jiǎn
簩	láo
簰	pái
簞	dān
簣	kuì
簙	bó
簤	dài
簜	dàng
簥	jiāo
簝	liáo
簶	lù
簚	mì
簢	mǐn
簲	pái
簯	qi
簱	qi
簛	shāi
簭	shì
簨	sǔn
篽	yù
簸	bò,bǒ
簿	bù
籁	lái
籀	zhòu
籆	yuè
簹	dāng
簽	qiān
簾	lián
簫	xiāo
簳	gǎn
簼	gōu
籈	zhēn
簴	jù
簬	lù
簵	lù
簺	sài
籂	shi
簷	yán
籅	yú
籍	jí
籋	niè
籊	tì
籎	yí
籌	chóu
籇	háo
籄	kuì
籃	lán
籏	qi
籉	tái
籕	zhòu
籑	zhuàn
籖	qiān
籐	téng
籓	fān
籔	sǒu
籒	zhòu
籧	jǔ,qú
籝	yíng
籙	lù
籜	tuò
籟	lài
籛	jiǎn
籚	lú
籡	shen shi
籘	téng
籗	zhuó
籠	lóng
籣	lán
籥	yuè
籤	qiān
籢	lián
籨	lián
籞	yù
籦	zhōng
籩	biān
籪	duàn
籬	lí
籮	luó
籭	shāi
籫	zuǎn
籰	yuè
籯	yíng
籱	zhuó
籲	yù
自	zì
臫	jiǎo
臭	chòu,xiù
臬	niè
臯	gāo
臰	chòu
臮	jì
臱	mián
臲	niè
貝	bèi
貞	zhēn
負	fù
貟	yuán
貤	yí,yì
貢	gòng
財	cái
貣	dài
貪	tān
責	zé
貶	biǎn
貧	pín
貨	huò
販	fàn
貫	guàn
貮	èr
貥	háng
貦	wán
貭	zhì
貳	èr
貰	shì
賁	bì
貼	tiē
貴	guì
買	mǎi
貺	kuàng
貸	dài
貿	mào
貯	zhù
貽	yí
費	fèi
賀	hè
貱	bì
貾	chí
貵	piǎn
貹	shèng
筫	zhì
賈	jiǎ
賊	zéi
賄	huì
賂	lù
賃	lìn
賉	xù
資	zī
賅	gāi
賌	gāi
賎	jiàn
賋	jiǎo
賆	pián
賍	zāng
貲	zī
賓	bīn
賑	zhèn
賕	qiú
賖	shē
賔	bīn
賗	chuàn
賒	shē
賐	jùn
賏	yīng
賘	zāng
賧	dǎn
賢	xián
賣	mài
賞	shǎng
賡	gēng
賨	cóng
賦	fù
賛	zàn
賬	zhàng
賭	dǔ
賫	lài
賚	lài
賤	jiàn
賜	cì
賙	zhōu
賠	péi
質	zhì
賝	chēn
賩	cóng
賥	suì
賟	tiǎn
賴	lài
賵	fèng
賲	bǎo
賰	chǔn
賮	jìn
賯	xiōng
賱	yǔn
賳	zāi
簀	zé
購	gòu
賹	yì
賻	fù
贅	zhuì
賽	sài
賺	zhuàn
賶	càng
賷	jī
賸	shèng
賾	zé
贁	bài
贄	zhì
贂	chěn
賿	liáo
贃	wàn
贀	yì
贉	dàn
贋	yàn
贇	yūn
贊	zàn
贈	zèng
贆	biāo
贌	pú
贎	wàn
贏	yíng
贍	shàn
贔	bì
贑	gàn
贐	jìn
贒	xián
贓	zāng
贗	yàn
贖	shú
贕	dú
贘	shǎng
贙	xuàn
贛	gàn
贚	lòng
贜	zāng
釆	biàn
采	cài,cǎi
釈	shì
释	shì
釉	yòu
釋	shì
镸	cháng
镹	jiǔ
镺	ǎo
镻	dié
镼	jié
镽	liǎo
镾	mí
車	chē
軋	yà
軍	jūn
軌	guǐ
軏	yuè
軒	xuān
軑	dài
軔	rèn
軓	fàn
軕	shān
軎	wèi
軐	xìn
軛	è
軟	ruǎn
軙	chén
軚	dài
軣	hōng
軖	kuáng
軠	kuáng
軞	máo
軜	nà
軝	qí
軡	qián
軗	shū
軘	tún
転	zhuàn
軱	gū
軲	gū
軻	kē
軹	zhǐ
軸	zhóu
軤	hū
軫	zhěn
軼	yì
軺	yáo
軪	āo
軷	bá
軰	bèi
軧	dǐ
軩	dài
軶	è
軬	fàn
軵	rǒng
軥	qú
軦	kuàng
軨	líng
軳	páo
軯	pēng
軽	qīng
軮	yǎng
軴	zhù
輀	ér
輂	jú
軿	píng
輋	shē
較	jiào
軾	shì
載	zài
輊	zhì
輇	quán
輈	zhōu
輅	lù
輁	gǒng
輄	guāng
輆	kǎi
軭	kuāng
輌	liàng
輒	zhé
輔	fǔ
輕	qīng
輓	wǎn
輐	wàn
輑	yǐn
輎	shāo
輏	yóu
輍	yù
輗	ní
輫	pái
輣	péng
輚	zhàn
輝	huī
輦	niǎn
輙	zhé
輛	liàng
輥	gǔn
輞	wǎng
輩	bèi
輪	lún
輨	guǎn
輟	chuò
輜	zī
輠	guǒ
輡	kǎn
輘	líng
輬	liáng
輧	peng
輢	yǐ
輖	zhōu
輴	chūn
輹	fù
輮	róu
輶	yóu
輷	hōng
輳	còu
輻	fú
輭	ruǎn
輯	jí
輼	wēn
輲	chuán
輸	shū
輵	gé
輱	xián
輤	qiàn
輰	yáng
輺	zī
輿	yú
轂	gǔ
轅	yuán
輾	zhǎn
轄	xiá
輽	fàn
轋	hūn
轁	tāo
轀	wēn
轃	zhēn
轇	jiāo
轊	wèi
轉	zhuǎn
轆	lù
轈	cháo
轌	xue
轕	gé
轎	jiào
轍	zhé
轔	lín
轐	bú
轓	fān
轑	lǎo
轏	zhàn
轘	huán,huàn
轖	sè
轚	jí
轗	kǎn
轙	yǐ
轝	yú
轟	hōng
轜	ér
轞	jiàn
轛	duì
轡	pèi
轢	lì
轠	léi
轤	lu
轣	lì
轥	lìn
辰	chén
辱	rǔ
農	nóng
辳	nóng
辴	zhěn
赤	chì
赧	nǎn
赦	shè
赥	xī
赪	chēng
赩	xì
赨	tóng
赫	hè
赭	zhě
赬	chēng
赮	xiá
赯	táng
辵	chuò
豆	dòu
豇	jiāng
豈	qǐ
豉	chǐ
豋	dēng
豊	lǐ
豌	wān
豎	shù
豍	bī
豏	xiàn
豐	fēng
豑	zhì
豒	zhì
豓	yàn
豔	yàn
谷	gǔ,yù
谸	qiān
谹	hóng
谻	jí
谺	xiā
谼	hóng
谽	hān
谾	hōng
豁	huó,huò,huō
谿	xī
豀	xī
豃	hǎn
豂	liáo
豄	dú
豅	lóng
見	jiàn
覌	guān
覍	biàn
覎	yàn
規	guī
覔	mì
覓	mì
視	shì
覐	jué
覒	mào
覑	piǎn
覗	sì
覘	chān
覚	jué
覕	piē
覙	zhěn
覜	tiào
覛	mì
覡	xī
覠	jūn
覝	lián
覞	yào
覟	zhì
覩	dǔ
覥	tiǎn
覢	shǎn
覣	wēi
覤	xì
覦	yú
親	qīn
覧	lǎn
覨	è
覯	gòu
覬	jì
覭	míng
覫	pǎng
覮	yíng
覲	jìn
覰	qū
覷	qù
観	guān
覱	zhàn
覵	jiàn
覴	dèng
覸	jiàn
覶	luó
覻	qù
覺	jué
覹	wéi
覼	luó
覽	lǎn
覿	dí
覾	shěn
觀	guān
角	jiǎo,jué
觔	jīn
觓	qiú
觙	jí
觖	jué
觕	cū
觘	chào
觗	zhì
觚	gū
觞	shāng
觝	dǐ
觛	dàn
触	chù
觥	gōng
解	jiè,jiě,xiè
觜	zī,zuǐ
觧	jiě
觡	gé
觤	guǐ
觟	huà
觠	quán
觢	shì
觫	sù
觨	hùn
觩	qiú
觪	xīng
觭	jī
觯	zhì
觰	zhā
觮	jué
觬	ní
觱	bì
觳	hú
觲	xīng
觴	shāng
觵	gōng
觶	zhì
觹	xī
觷	xué
觸	chù
觺	yí
觼	jué
觽	xī
觻	lì
觾	yàn
觿	xī
兡	bǎi kè
里	lǐ
重	chóng,zhòng
野	yě
量	liáng,liàng,liɑng
釐	lí
鹾	cuó
麦	mài
麸	fū
麹	qū
麺	miàn
身	shēn
躬	gōng
躯	qū
躭	dān
躮	sǎi gā lāi rē
躰	tǐ
躲	duǒ
躳	gōng
躱	duǒ
躴	láng
躵	hǎi lā wǔ
躺	tǎng
躶	luǒ
躷	ǎi
躸	jī
躹	jū
躻	wu te su kē
躼	lào
躾	xǐ tuī kɑī
躽	yǎn
躿	kāng
軀	qū
軁	lóu
軃	duǒ
軂	lào
軅	yɑn
軄	zhí
軆	tǐ
軇	dào
軈	yā gā tēi
軉	yu
豕	shǐ
豖	chù
豗	huī
豝	bā
豜	jiān
豚	tún
象	xiàng
豘	tún
豙	yì
豛	yì
豠	chú
豟	è
豞	hòu
豢	huàn
豥	gāi
豣	jiɑn
豦	jù
豤	kěn
豪	háo
豨	xī
豩	bīn
豧	fú
豫	yù
豬	zhū
豭	jiā
豱	wēn
豳	bīn
豰	hù
豲	huán
豯	xī
豵	zòng
豴	dí
豷	yì
辛	xīn
辜	gū
辝	cí
辟	bì,pì
辞	cí
辠	zuì
辣	là
辢	là
辡	biàn
辤	cí
辨	biàn
辩	biàn
辦	bàn
辧	biàn
辥	xuē
辫	biàn
辪	xuē
辬	bān
辭	cí
辮	biàn
辯	biàn
言	yán
訁	yán
訇	hōng
訄	qiú
計	jì
訂	dìng
訃	fù
訆	jiào
訅	qiú
訏	xū
訑	yí
訚	yín
訐	jié
訌	hòng
討	tǎo
訊	xùn
訕	shàn
訖	qì
託	tuō
訓	xùn
記	jì
訒	rèn
訍	chài
訋	diào
訉	fàn
訯	sǎ
訙	xùn
訔	yín
訢	xīn
詎	jù
訝	yà
訥	nè
訟	sòng
訩	xiōng
許	xū
訛	é
設	shè
訪	fǎng
訣	jué
訬	chāo
訦	chén
訡	yín
訤	xiáo
訠	shěn
訫	xìn
訮	yán
訞	yāo
訲	yì
訳	yì
訧	yóu
訨	zhǐ
訰	zhùn
訸	hé
詈	lì
詒	yí
詟	zhé
詝	zhǔ
評	píng
証	zhèng
詁	gǔ
訶	hē
詛	zǔ
詗	xiòng
診	zhěn
詐	zhà
訴	sù
詆	dǐ
註	zhù
詑	tuó
詞	cí
詔	zhào
詘	qū
詙	bá
詖	bì
詀	zhān
訵	chī
詚	dá
詄	dié
詂	fù
詌	gàn
訽	gòu
詃	jiǎn
詅	líng
詉	náo
詊	pàn
詓	qǔ
訷	shēn
詜	tāo
訹	xù
詇	yàng
詏	yào
詍	yì
詠	yǒng
詋	zhòu
誊	téng
誉	yù
詹	zhān
訾	zǐ,zī
誄	lěi
誆	kuāng
試	shì
詿	guà
詩	shī
詰	jié
誇	kuā
詼	huī
誠	chéng
詮	quán
誅	zhū
詵	shēn
話	huà
誕	dàn
詬	gòu
詭	guǐ
詢	xún
詾	xiōng
諍	zhèng
詶	chóu
詫	chà
該	gāi
詳	xiáng
詸	mí
詣	yì
詡	xǔ
詧	chá
誁	bìng
誀	èr
誃	yí
誂	tiǎo
詷	tóng
詻	luò
詥	hé
詪	hěn
詤	huǎng
詯	huì
詺	míng
誔	tǐng
詴	wēi
誈	wū
詨	xiào
詽	yán
訿	zǐ
誓	shì
誡	jiè
語	yǔ
誌	zhì
誣	wū
誖	bèi
誚	qiào
誤	wù
誥	gào
誘	yòu
誨	huì
誑	kuáng
説	shuō
誦	sòng
認	rèn
誝	ān
誧	bū
誗	chán
誎	cù
読	dú
誐	é
誮	huɑ
誋	jì
誩	jìng
誙	kēng
誏	lǎng
誛	qīn
誜	shuà
說	shuō
誒	ēi
誢	xiàn
誟	xiào
誫	zhèn
諔	chù
諓	jiàn
諙	huà
請	qǐng
諾	nuò
諸	zhū
諏	zōu
諑	zhuó
課	kè
誹	fěi
諗	shěn
論	lùn
諉	wěi
誰	shuí
諛	yú
調	diào
諂	chǎn
誼	yì
誶	suì
諄	zhūn
諒	liàng
談	tán
誾	yín
諀	pǐ
諘	biǎo
誯	chàng
諃	chēn
誺	chī
誴	cóng
諎	zé
諌	dǒng
諣	huà
諕	xià
諅	jì
誱	jié
諊	jū
誳	qū
誽	nì
諚	biàn
諩	pǔ
諆	jī
諐	qiān
誻	tà
誷	wǎng
誸	xián
誵	xiáo
諈	zhuì
諁	zhuó
諴	xián
謏	xiǎo
諠	xuān
謊	huǎng
諶	chén
謀	móu
諜	dié
諫	jiàn
謔	xuè
謁	yè
謂	wèi
諤	è
諢	hùn
諼	xuān
諭	yù
諡	shì
諷	fěng
諦	dì
諳	ān
諺	yàn
諮	zī
謎	mí
諞	piǎn
諱	huì
諝	xū
諧	xié
諰	xǐ
諟	shì
謉	kuì
諨	fú
諽	gé
諻	huáng
諵	nán
諬	qǐ
諿	xǔ
諪	tíng
謃	xing
諹	yáng
諲	yīn
諥	zhòng
諯	zhuān
謷	áo
謋	huò
謇	jiǎn
謟	tāo
謌	gē
講	jiǎng
譁	huá
謨	mó
謖	sù
謡	yáo
謝	xiè
謅	zhōu
謗	bàng
謐	mì
謚	shì
謙	qiān
謩	mó
謄	téng
謸	áo
謓	chēn
謘	chí
謞	hè
謍	yíng
謧	lí
謰	lián
謈	bó
謒	qiāng
謜	yuán
謆	shàn
謕	tí
謑	xǐ
謠	yáo
謢	lū
謦	qǐng
謹	jǐn
謳	ōu
謼	hū
謾	mán
謫	zhé
謬	miù
謲	càn
謤	biāo
謵	xí
謻	yí
謥	còng
謴	gùn
譀	hàn
謭	jiǎn
謯	jiē
謱	lóu
謪	shāng
謶	zhuó
謣	yú
譃	xū
謮	zé
譇	zhā
謺	zhé
警	jǐng
譊	náo
譔	zhuàn
謿	cháo
譆	xī
譚	tán
譖	zèn
譙	qiáo
譌	é
識	shí
譜	pǔ
譎	jué
譪	ǎi
譒	bò
譂	chǎn
譈	duì
譓	huì
譏	jī
謽	jiàng
譑	jiǎo
譋	lán
譕	wú
譝	shéng
譢	suì
譛	jiàn
譄	zēng
譗	zhá
證	zhèng
譐	zǔn
譬	pì
譞	xuān
譟	zào
護	hù
譴	qiǎn
譯	yì
譭	huǐ
譫	zhān
議	yì
譡	dǎng
譍	yīng
譽	yù
譮	huà
譤	jī
譥	jiào
譧	zhàn
譨	nóng
譲	ràng
譱	shàn
譠	tán
譣	xiǎn
譩	yī
譸	zhōu
讁	zhé
譺	ài
譵	duì
譹	háo
譼	jiān
讂	juàn
譳	ròu
譅	sè
譶	tà
譻	yīng
讆	wèi
讀	dú
讅	shěn
譾	jiǎn
譿	huì
讄	lěi
讉	yí
讃	zàn
讔	yǐn
讎	chóu
讌	yàn
變	biàn
讐	chóu
讇	chǎn
讍	è
讈	lì
讏	wèi
讙	huān
讕	lán
讓	ràng
讖	chèn
讒	chán
讋	zhé
讑	yào
讛	yì
讘	niè
讗	xié
讚	zàn
讝	zhán
讞	yàn
讜	dǎng
讟	dú
邑	yì
邕	yōng
邫	bāng
郌	guī
郒	láng
郶	bù
郺	yōng
鄨	bì
酉	yǒu
酊	dǐng,dīng
酋	qiú
酐	gān
酒	jiǔ
配	pèi
酏	yǐ
酎	zhòu
酌	zhuó
酑	yú
酖	dān
酘	dòu
酕	máo
酞	tài
酗	xù
酝	yùn
酜	fu
酓	yǎn
酛	kī mō tō
酙	zhēn
酔	zuì
酢	cù
酦	fā,pō
酤	gū
酣	hān
酥	sū
酡	tuó
酠	qiǎ
酟	tiān
酬	chóu
酱	jiàng
酪	lào
酩	mǐng
酮	tóng
酰	xiān
酯	zhǐ
酧	chóu
酫	chuò
酭	yòu
酨	zài
酲	chéng
酵	jiào
酷	kù
酹	lèi
酶	méi
酿	niàng
酺	pú
酾	shāi,shī
酸	suān
酴	tú
酽	yàn
酻	zuì
酼	hǎi
酳	yìn
醇	chún
醋	cù
醌	kūn
醂	lǎn
醁	lù
醅	pēi
醄	táo
醊	zhuì
醉	zuì
醃	yān
醆	zhǎn
醈	tán
醏	dū
醀	wéi
醐	hú
醚	mí
醛	quán
醍	tí,tǐ
醎	xián
醒	xǐng
醑	xǔ
醖	yùn
醜	chǒu
醕	chún
醔	qiú
醝	cuō
醗	pō
醙	sōu
醓	tǎn
醠	àng
醢	hǎi
醨	lí
醣	táng
醟	yòng
醡	zhà
醤	jiàng
醘	kē
醞	yùn
醪	láo
醫	yī
醬	jiàng
醦	chǎn
醧	yù
醥	piǎo
醩	zāo
醭	bú
醮	jiào
醰	tán
醯	xī
醱	pō
醵	jù
醴	lǐ
醲	nóng
醷	yì
醶	yàn
醸	niàng
醳	yì
醺	xūn
醻	chóu
醹	rú
醼	yàn
釂	jiào
醾	mí
釀	niàng
醽	líng
醿	mí
釁	xìn
釃	shī
釅	yàn
釄	mí
豸	zhì
豹	bào
豺	chái
豻	àn
豽	nà
豼	pí
貂	diāo
貀	nà
豿	gǒu
貃	mò
豾	pī
貁	yòu
貉	háo,hé
貆	huán
貊	mò
貅	xiū
貈	hé
貇	kěn
貄	sì
貌	mào
貋	àn
貍	lí
貓	māo
貏	bǐ
貎	ní
貒	tuān
貐	yǔ
貑	jiā
貘	mò
貔	pí
貕	xī
貖	yì
貙	chū
貗	jù
貚	tán
貛	huān
貜	jué
走	zǒu
赴	fù
赳	jiū
赵	zhào
赲	lì
赶	gǎn
起	qǐ
赸	shàn
赿	chí
赼	zī
趀	cī
赽	jué
赺	yǐn
赾	qǐn
赹	qióng
赻	xiǎn
超	chāo
趁	chèn
趄	jū,qie,qiè
趋	qū
越	yuè
趂	chèn
趆	dī
趃	dié
趉	jué
趇	xì
趈	zhān
趔	liè
趑	zī
趍	qū
趐	xuè
趎	chú
趓	duǒ
趏	guā
趌	jí
趒	tiào
趖	suō
趙	zhào
趕	gǎn
趗	cù
趚	sù
趘	xí
趣	cù,qù
趟	tàng,tāng
趠	chuō
趡	cuǐ
趤	dàng
趞	què
趝	jiàn
趜	jú
趢	lù
趛	yǐn
趥	qiū
趧	tí
趦	zī
趨	qū
趩	chì
趪	huáng
趫	qiáo
趭	jiào
趬	qiāo
趮	zào
趯	tì
趰	er
趱	zǎn
趲	zǎn
足	zú
趴	pā
趵	bào,bō
趸	dǔn
趿	tā
趷	kē
趶	kuà
趻	chěn
趺	fū
趼	jiǎn
距	jù
跂	qí,qì
跄	qiàng,qiāng
跃	yuè
趾	zhǐ
跀	yuè
跁	bà
趽	fāng
趹	jué
跋	bá
跛	bǒ
跌	diē
跕	dié
跗	fú,fū
跏	jiā
践	jiàn
跔	jū
跞	lì,luò
跑	páo,pǎo
跚	shān
跎	tuó
跅	tuò
跖	zhí
跘	pán
跈	jiàn
跙	jū
跍	kū
跉	líng
跊	mèi
跜	ní
跒	qiǎ
跆	tái
跇	yì
跓	zhù
跸	bì
跐	cǐ,cī
跺	duǒ
跟	gēn
跪	guì
跻	jī
跲	jiá
跤	jiāo
跨	kuà
跬	kuǐ
路	lù
跷	qiāo
跫	qióng
跳	tiào
跹	xiān
跣	xiǎn
跩	zhuǎi
跴	cǎi
跥	duò
跡	jì
跰	pián
跢	dài
跮	dié
跦	zhū
跶	dá
跧	quán
跭	xiáng
跠	yí
踭	zhēng
跱	zhì
踌	chóu
踆	cūn
跽	jì
跼	jú
踉	liáng,liàng
踅	xué
踊	yǒng
踁	jìng
踄	bù
跾	shū
踀	chuò
跿	tú
踋	jiǎo
踎	móu
踇	mǔ
踂	niè
踃	xiāo
踍	qiāo
踈	shū
踣	bó
踩	cǎi
踟	chí
踔	chuō
踧	cù
踮	diǎn
踝	huái
踑	jí
踺	jiàn
踞	jù
踡	juǎn,quán
踦	qī,yǐ
踏	tà,tā
踢	tī
踠	wǎn
踒	wō
踯	zhí
踬	zhì
踪	zōng
踖	jí
踐	jiàn
踫	pèng
踜	lèng
踓	wěi
踤	zú
踻	guā
踕	jié
踘	jū
踛	lù
踚	lún
蹃	nuò
踗	niè
踙	niè
踥	qiè
踷	zhě
踨	zōng
蹅	chǎ
踸	chěn
踹	chuài
踳	chuǎn
蹉	cuō
踶	dì
蹀	dié
踱	duó
踽	jǔ
蹁	pián
蹂	róu
蹄	tí
踵	zhǒng
踴	yǒng
踾	fú
踰	yú
踲	dùn
踼	táng
蹆	tuǐ
踿	cù
蹈	dǎo
蹎	diān
蹐	jí
蹇	jiǎn
蹓	liù,liū
蹍	niǎn
蹑	niè
蹒	pán
蹊	qī,xī
蹋	tà
蹕	bì
蹌	qiāng
蹏	tí
蹥	lián
蹦	bèng
蹩	bié
躇	chú
蹙	cù
蹢	dí,zhí
蹛	dié
蹡	qiāng
蹚	tāng
蹔	zàn
蹟	jì
蹧	zāo
蹣	pán
蹤	zōng
蹠	zhí
蹖	chōng
躀	guàn
蹞	kuǐ
蹘	liáo
蹗	lù
蹜	sù
蹝	xǐ
蹭	cèng
蹰	chú
蹴	cù,jiu
蹿	cuān
蹲	cún,dūn
蹬	dèng,dēng
蹾	dūn
蹯	fán
蹶	jué
蹻	jué
蹽	liāo
蹼	pǔ
蹷	jué
躉	dǔn
蹺	qiāo
蹵	cù
蹳	bō
蹱	zhōng
躂	dɑ
蹫	jú
蹸	lìn
蹨	niǎn
蹹	tà
蹪	tuí
蹮	xiān
躄	bì
躈	qiào
躁	zào
躅	zhú,zhuó
躃	bì
躆	jù
躏	lìn
躊	chóu
躋	jī
躑	zhí
躍	yuè
躎	niǎn
躌	wǔ
躔	chán
躐	liè
躚	xiān
躓	zhì
躒	lì
躕	chú
躖	duàn
躗	wèi
躜	zuān
躙	lìn
躘	lóng
躠	sǎ
躛	wèi
躞	xiè
躤	jí
躝	lán
躟	ráng
躥	cuān
躡	niè
躣	qú
躢	tà
躧	xǐ
躦	zuān
躪	lìn
躩	jué
躨	kuí
長	cháng
齿	chǐ
龀	chèn
龁	hé
龂	yín
龅	bāo
龃	jǔ
龄	líng
龆	tiáo
龈	yín
龇	zī
龊	chuò
龉	yǔ
龋	qǔ
龌	wò
非	fēi
靟	fēi
靠	kào
靡	mí,mǐ
阜	fù
金	jīn
釜	fǔ
鉴	jiàn
銮	luán
銎	qiōng
銐	chì
銞	jūn
鈭	zī
鋬	pàn
鋈	wù
鋆	yún
鋫	lí
銴	shì
鋚	tiáo
銺	zàng
錾	zàn
鋻	jiān
錖	dú
錅	lí
錃	pī
錱	zhēn
鍪	móu
鍙	hù
鍳	jiàn
鍫	qiāo
鍌	xiǎn
鏊	ào
鎏	liú
鎣	yíng
鎜	pán
鎥	tiáo
鏖	áo
鐅	piě
鏨	zàn
鏧	lóng
鐆	suì
鐜	duī
鐾	bèi
鑒	jiàn
鑋	qīng
鑍	yīng
